File Name,Name,Organization,Location,Skill Score,Collaboration Score,Adaptability Score,Overall Score,Category
10554236.pdf.txt,Ledger,the Department of Defense,Accountant City,3,2,0,5,ACCOUNTANT
10674770.pdf.txt,Microsoft Word Education,QuickBooks,NC,4,0,0,4,ACCOUNTANT
11163645.pdf.txt,Attributes Self,Committed,Processed,0,2,0,2,ACCOUNTANT
11759079.pdf.txt,MSREF,FL,MD,2,2,0,4,ACCOUNTANT
12065211.pdf.txt,Accountant Mar,Skills AderantCMS Excel,US,3,2,0,5,ACCOUNTANT
12202337.pdf.txt,Career Focus,Microsoft Office MS Word,Workbench,3,2,0,5,ACCOUNTANT
12338274.pdf.txt,Video Editing,MS Office,XP,4,0,0,4,ACCOUNTANT
12442909.pdf.txt,Accountant Aug,State Accounting,Processed,2,2,0,4,ACCOUNTANT
12780508.pdf.txt,Detail,PNC Conversation Deep Dive,Verifies,2,2,0,4,ACCOUNTANT
12802330.pdf.txt,Maintained,Accounting Systems,Not Found,3,2,0,5,ACCOUNTANT
13072019.pdf.txt,Career Focus Dedicated,Highlights Project coordination Forward,Capitol Heights,3,0,0,3,ACCOUNTANT
13130984.pdf.txt,Mac,Skills Budget,Not Found,2,2,0,4,ACCOUNTANT
13294301.pdf.txt,Not Found,Microsoft Office,Not Found,3,2,0,5,ACCOUNTANT
13491889.pdf.txt,W,Budget Planning Cash Management Accounts Receivable Accounts Payable Inventory,Name City,4,2,0,6,ACCOUNTANT
13701259.pdf.txt,Not Found,Lean Six Sigma,Not Found,3,2,0,5,ACCOUNTANT
14055988.pdf.txt,Request,Team Player Communication Skills Time Management Skills Research Abilities,Accountant City,3,2,0,5,ACCOUNTANT
14126433.pdf.txt,Core Qualifications,Microsoft Office,SAP,4,2,0,6,ACCOUNTANT
14224370.pdf.txt,Detail,Houston Highlights Team,Processed,2,2,0,4,ACCOUNTANT
14449423.pdf.txt,Receipt,Finance,US,3,0,0,3,ACCOUNTANT
14470533.pdf.txt,Diploma,PowerPoint,Idaho,3,0,0,3,ACCOUNTANT
14491649.pdf.txt,Image Freeway,Highlights Microsoft Excel,Company Name City,4,0,0,4,ACCOUNTANT
14496667.pdf.txt,People Soft,Microsoft Office,Company Name City,3,2,0,5,ACCOUNTANT
15289348.pdf.txt,Ledger Reconciliation,Variance Analysis,Reduced Payables,4,2,0,6,ACCOUNTANT
15363277.pdf.txt,Offer,Business Planning Performance Evaluations Financial Standards Productivity Improvement Financial Planning Analysis Training Development Cash Flow Management Personnel Management Standards Compliance Financial Statistical Modeling Expertise,Telecom,3,0,0,3,ACCOUNTANT
15592167.pdf.txt,Financial Accountant,Disney,Accounting,4,2,0,6,ACCOUNTANT
15821633.pdf.txt,Cashier Booth,Circular A MS Office,Quickbooks,2,2,0,4,ACCOUNTANT
15906625.pdf.txt,Accountant Aug,Accounting Bookkeeping Services Financial,the City of Alexandria,4,2,0,6,ACCOUNTANT
16237710.pdf.txt,Outstanding Performance,Shantilal Gala Company,Nairobi,3,0,0,3,ACCOUNTANT
17306905.pdf.txt,Respond,Daily Accounting,US,4,2,0,6,ACCOUNTANT
17407184.pdf.txt,Core Qualifications,Current Company Name,COLLEGE PARK City,2,0,0,2,ACCOUNTANT
17556527.pdf.txt,Xpert,Balance Sheet Accounting Reports Management Knowledge,Dubai,3,2,0,5,ACCOUNTANT
18132924.pdf.txt,Mac,Budget,Venezuela,3,2,0,5,ACCOUNTANT
18365791.pdf.txt,Not Found,Salesforcecom,Not Found,1,2,0,3,ACCOUNTANT
18569929.pdf.txt,JD Edwards,Highlights FAS Asset Accounting Quickbooks,Processed,2,2,0,4,ACCOUNTANT
18635654.pdf.txt,Abdul Aziz Abdul Ghafar Ahmed,Accounting,Egypt,2,0,0,2,ACCOUNTANT
18669563.pdf.txt,WEBFCR,Core Qualifications,Headquarter DC,2,0,0,2,ACCOUNTANT
19446337.pdf.txt,Established,Accounting Professional,United States Coursework,4,2,0,6,ACCOUNTANT
19545827.pdf.txt,Inventory Reconciliations,Team Building,Lawrenceville,3,2,0,5,ACCOUNTANT
20082776.pdf.txt,Bachelors Degree,scorps,Accounting,3,0,0,3,ACCOUNTANT
20253563.pdf.txt,Detail,Account,Not Found,2,2,2,6,ACCOUNTANT
20345168.pdf.txt,Coffee Shop,Highlights Financial,USA,3,2,0,5,ACCOUNTANT
20393721.pdf.txt,Microsoft Suite,Intuit ProSeries,Not Found,4,0,0,4,ACCOUNTANT
20624984.pdf.txt,Traveling Bills,SAP,SAP,3,2,0,5,ACCOUNTANT
21031285.pdf.txt,Macros,Microsoft Office,PO,2,0,0,2,ACCOUNTANT
21338490.pdf.txt,Creative Solutions,QuickBooks,Prepare,4,2,0,6,ACCOUNTANT
21763056.pdf.txt,Complete,Core Qualifications Excel Word Access,Processed,4,0,0,4,ACCOUNTANT
21794875.pdf.txt,Analys,Accounting University,US,3,2,0,5,ACCOUNTANT
21853199.pdf.txt,Summa Cum Laude,BBA,Ohio,3,2,0,5,ACCOUNTANT
22465498.pdf.txt,Best Cashier,Financial Accounting,Accountancy,3,2,0,5,ACCOUNTANT
22925443.pdf.txt,Strengths,Highlights Microsoft Office,Not Found,3,0,0,3,ACCOUNTANT
23139819.pdf.txt,Balance Sheet,Microsoft Office,Las City,3,2,0,5,ACCOUNTANT
23246831.pdf.txt,Detail,Microsoft Office,Validates,1,2,0,3,ACCOUNTANT
23387174.pdf.txt,Ledger Reconciliations,Controller,Accounting,4,2,0,6,ACCOUNTANT
23416654.pdf.txt,Cum Laude,CMA,Accountant City,4,2,0,6,ACCOUNTANT
23438112.pdf.txt,Detail,Skills Strong,Broward County Library,3,0,0,3,ACCOUNTANT
23513618.pdf.txt,Maintained,FASB,Mexico,4,2,0,6,ACCOUNTANT
23636277.pdf.txt,Adobe Reader,Highlights MS Office,,4,2,0,6,ACCOUNTANT
23734441.pdf.txt,Perform,Current Accountant Company Name,Supervisor,3,0,0,3,ACCOUNTANT
24103168.pdf.txt,Variance,UBS Switzerland AG,Avaloq,4,2,0,6,ACCOUNTANT
24294778.pdf.txt,Resourceful Strong,Microsoft Office,Flexibill,2,2,0,4,ACCOUNTANT
24703009.pdf.txt,Virginia Francis Summary,Adobe,USA,3,2,0,5,ACCOUNTANT
24799301.pdf.txt,Annapolis Amblers Walking Club,Current Accountant Company Name City,Maryland,1,0,0,1,ACCOUNTANT
24817041.pdf.txt,s,Rockwall,Santa Gertrudis,3,0,0,3,ACCOUNTANT
25067742.pdf.txt,Ledger Accounts,Accounting Professional,Florida,1,2,0,3,ACCOUNTANT
25127518.pdf.txt,Reconciliations Pivot Tables,Skills Billing,Missouri,2,0,0,2,ACCOUNTANT
25462793.pdf.txt,Monitor,Detail Microsoft Office,US,2,2,0,4,ACCOUNTANT
25547145.pdf.txt,Warehouse Worker,Aftermarket Radiator Company,Strong,1,2,0,3,ACCOUNTANT
25749150.pdf.txt,Skill Highlights,ASC,Not Found,2,0,0,2,ACCOUNTANT
25846894.pdf.txt,Margaret Brown,YARDI,Peachtree,4,2,0,6,ACCOUNTANT
25862026.pdf.txt,Knowledge,Team,Name City,2,2,0,4,ACCOUNTANT
25867805.pdf.txt,Maintained,Current Company Name,Dallas,3,0,0,3,ACCOUNTANT
25935030.pdf.txt,Customer Interface,Cashier,US,2,2,0,4,ACCOUNTANT
26065877.pdf.txt,Generate,ERP,Hong Kong,2,0,0,2,ACCOUNTANT
26975573.pdf.txt,MS Word,Skills Lawson Invision,Meditech,4,2,0,6,ACCOUNTANT
27558837.pdf.txt,Supervisor Assisted,Current Company Name City,Monarch,3,2,0,5,ACCOUNTANT
27573855.pdf.txt,Labor Trak,SPC B Co,Ceridian,3,2,0,5,ACCOUNTANT
27637576.pdf.txt,Variance,Highlights Superior,Integrated,4,2,0,6,ACCOUNTANT
